Question ID,LLAMA,GPT
74733701-gpt-3.5-turbo,MEDIUM,VERY HIGH
75841863-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75841863-gpt-3.5-turbo,HIGH,HIGH
76030821-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
76030821-gpt-3.5-turbo,LOW,LOW
75011823-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75353543-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
75789993-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
75429405-gpt-3.5-turbo,HIGH,HIGH
75377220-gpt-3.5-turbo,MEDIUM,VERY HIGH
75504826-gpt-3.5-turbo,MEDIUM,HIGH
74911648-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
75044024-gpt-3.5-turbo,HIGH,LOW
74844464-gpt-3.5-turbo,HIGH,LOW
74959366-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74959366-gpt-3.5-turbo,MEDIUM,MEDIUM
75260382-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
75260382-gpt-3.5-turbo,LOW,VERY HIGH
75341458-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75341458-gpt-3.5-turbo,LOW,MEDIUM
73368255-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73368255-gpt-3.5-turbo,HIGH,VERY HIGH
72986123-gpt-3.5-turbo,MEDIUM,HIGH
74368270-gpt-3.5-turbo,MEDIUM,MEDIUM
74511509-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74511509-gpt-3.5-turbo,LOW,VERY LOW
73725448-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
73725448-gpt-3.5-turbo,HIGH,VERY HIGH
73465679-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73465679-gpt-3.5-turbo,MEDIUM,LOW
74411450-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
73143311-gpt-3.5-turbo,MEDIUM,VERY LOW
74535758-gpt-3.5-turbo,LOW,MEDIUM
73314559-gpt-3.5-turbo,HIGH,HIGH
72905471-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
72826154-gpt-3.5-turbo,HIGH,LOW
73045806-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
73045806-gpt-3.5-turbo,HIGH,LOW
73891997-gpt-3.5-turbo,MEDIUM,MEDIUM
74422849-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
74422849-gpt-3.5-turbo,HIGH,MEDIUM
73248689-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73248689-gpt-3.5-turbo,HIGH,VERY HIGH
74437558-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
74214892-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
73903352-gpt-3.5-turbo,MEDIUM,MEDIUM
74393426-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73810638-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73810638-gpt-3.5-turbo,HIGH,VERY LOW
73184914-gpt-3.5-turbo,HIGH,HIGH
74595002-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74595002-gpt-3.5-turbo,MEDIUM,HIGH
73534241-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73534241-gpt-3.5-turbo,LOW,MEDIUM
73144075-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
74543810-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
73556146-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
73556146-gpt-3.5-turbo,HIGH,VERY LOW
74089173-gpt-3.5-turbo,HIGH,HIGH
72847591-gpt-3.5-turbo,MEDIUM,VERY HIGH
73903603-gpt-3.5-turbo,LOW,MEDIUM
74448709-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74284478-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74284478-gpt-3.5-turbo,MEDIUM,MEDIUM
74405746-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
74405746-gpt-3.5-turbo,MEDIUM,LOW
73407546-gpt-3.5-turbo,MEDIUM,VERY HIGH
73547364-gpt-3.5-turbo,LOW,MEDIUM
74095245-gpt-3.5-turbo,LOW,VERY HIGH
73515766-gpt-3.5-turbo,MEDIUM,HIGH
73004413-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73004413-gpt-3.5-turbo,HIGH,LOW
73380316-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73380316-gpt-3.5-turbo,MEDIUM,LOW
74310780-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74310780-gpt-3.5-turbo,LOW,LOW
73553976-gpt-3.5-turbo,HIGH,VERY LOW
74612337-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
74612337-gpt-3.5-turbo,LOW,HIGH
73196092-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73196092-gpt-3.5-turbo,HIGH,VERY HIGH
74227793-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
74227793-gpt-3.5-turbo,HIGH,VERY LOW
74076957-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
74076957-gpt-3.5-turbo,LOW,VERY HIGH
73682305-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73682305-gpt-3.5-turbo,LOW,VERY HIGH
74136704-gpt-3.5-turbo,MEDIUM,HIGH
73867414-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
72971634-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
72971634-gpt-3.5-turbo,MEDIUM,MEDIUM
73165456-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
72988901-gpt-3.5-turbo,MEDIUM,HIGH
73635965-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73635965-gpt-3.5-turbo,MEDIUM,MEDIUM
73738035-gpt-3.5-turbo,HIGH,VERY HIGH
73032148-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73032148-gpt-3.5-turbo,HIGH,VERY HIGH
73687017-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
73687017-gpt-3.5-turbo,MEDIUM,VERY HIGH
73531936-gpt-3.5-turbo,MEDIUM,LOW
73158541-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
73158541-gpt-3.5-turbo,LOW,LOW
73538666-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
72828351-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73657033-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73657033-gpt-3.5-turbo,MEDIUM,VERY HIGH
73925755-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73452611-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
73452611-gpt-3.5-turbo,HIGH,LOW
74271731-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74271731-gpt-3.5-turbo,LOW,MEDIUM
73985472-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
73985472-gpt-3.5-turbo,HIGH,VERY HIGH
72954104-gpt-3.5-turbo,MEDIUM,VERY LOW
74400294-gpt-3.5-turbo,MEDIUM,LOW
74481905-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73125825-meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH
73125825-gpt-3.5-turbo,MEDIUM,HIGH
73475744-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73475744-gpt-3.5-turbo,HIGH,MEDIUM
73188739-gpt-3.5-turbo,MEDIUM,MEDIUM
74041416-gpt-3.5-turbo,MEDIUM,HIGH
73671051-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
73671051-gpt-3.5-turbo,LOW,HIGH
74556446-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
74556446-gpt-3.5-turbo,MEDIUM,VERY HIGH
73168099-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73168099-gpt-3.5-turbo,HIGH,VERY HIGH
73573040-gpt-3.5-turbo,MEDIUM,MEDIUM
73179160-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73920596-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73920596-gpt-3.5-turbo,HIGH,HIGH
74386488-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74386488-gpt-3.5-turbo,MEDIUM,VERY HIGH
72857296-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
72857296-gpt-3.5-turbo,HIGH,VERY HIGH
73633189-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
73633189-gpt-3.5-turbo,MEDIUM,HIGH
73985713-gpt-3.5-turbo,MEDIUM,VERY HIGH
74306195-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
74191220-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
74191220-gpt-3.5-turbo,LOW,VERY HIGH
73968425-gpt-3.5-turbo,HIGH,VERY HIGH
74357958-gpt-3.5-turbo,MEDIUM,HIGH
73354989-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73354989-gpt-3.5-turbo,MEDIUM,VERY HIGH
74512813-gpt-3.5-turbo,MEDIUM,HIGH
74382338-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
74237043-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
74237043-gpt-3.5-turbo,MEDIUM,VERY HIGH
74594144-gpt-3.5-turbo,HIGH,HIGH
74168837-gpt-3.5-turbo,LOW,HIGH
73377019-gpt-3.5-turbo,HIGH,LOW
73210611-gpt-3.5-turbo,MEDIUM,VERY HIGH
74548191-gpt-3.5-turbo,MEDIUM,HIGH
72936313-gpt-3.5-turbo,HIGH,MEDIUM
74110774-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
74110774-gpt-3.5-turbo,HIGH,HIGH
74387517-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
74387517-gpt-3.5-turbo,MEDIUM,MEDIUM
73634127-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73634127-gpt-3.5-turbo,MEDIUM,MEDIUM
73683516-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73683516-gpt-3.5-turbo,LOW,VERY HIGH
73253228-gpt-3.5-turbo,MEDIUM,MEDIUM
73555284-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73809448-gpt-3.5-turbo,LOW,VERY HIGH
72887432-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
74217317-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
74217317-gpt-3.5-turbo,HIGH,VERY HIGH
74016253-meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW
74016253-gpt-3.5-turbo,MEDIUM,MEDIUM
73299474-gpt-3.5-turbo,LOW,HIGH
73134275-gpt-3.5-turbo,MEDIUM,HIGH
74257296-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
72966759-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
74606136-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
74606136-gpt-3.5-turbo,MEDIUM,VERY LOW
73292446-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73725267-gpt-3.5-turbo,MEDIUM,VERY HIGH
72856097-gpt-3.5-turbo,LOW,MEDIUM
74199102-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73354302-meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW
73283623-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
73283623-gpt-3.5-turbo,HIGH,VERY HIGH
73262628-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73262628-gpt-3.5-turbo,MEDIUM,LOW
73707930-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73707930-gpt-3.5-turbo,MEDIUM,MEDIUM
74402927-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73746526-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73806877-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
73806877-gpt-3.5-turbo,HIGH,MEDIUM
74338106-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
74338106-gpt-3.5-turbo,HIGH,VERY HIGH
73675612-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73675612-gpt-3.5-turbo,MEDIUM,MEDIUM
74506570-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73518721-gpt-3.5-turbo,MEDIUM,VERY HIGH
73694809-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73694809-gpt-3.5-turbo,MEDIUM,HIGH
74041404-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
74041404-gpt-3.5-turbo,HIGH,MEDIUM
72854554-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
72854554-gpt-3.5-turbo,MEDIUM,HIGH
74454140-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74454140-gpt-3.5-turbo,HIGH,HIGH
74297221-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
74297221-gpt-3.5-turbo,MEDIUM,LOW
73587743-meta-llama/Llama-2-7b-chat-hf,VERY HIGH,LOW
73587743-gpt-3.5-turbo,HIGH,HIGH
73422387-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73550999-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73750333-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73464752-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73066189-gpt-3.5-turbo,MEDIUM,MEDIUM
73874791-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73868350-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
73475091-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
74485432-gpt-3.5-turbo,MEDIUM,HIGH
73093527-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
74027109-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73711919-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
73187972-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73195147-meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH
74223372-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74223372-gpt-3.5-turbo,LOW,HIGH
73206867-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
73003300-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73003300-gpt-3.5-turbo,MEDIUM,LOW
74500669-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73000455-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73750290-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73539348-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
72849419-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
73147931-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73841384-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73704007-meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH
74489862-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
73102323-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
73223467-meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH
73034413-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
74365144-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73354652-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
74405956-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
73436929-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74077744-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73277769-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73504314-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73206798-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
73676116-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73364270-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
73760219-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
73410719-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73546092-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
74367079-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
74354445-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
73525303-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
74603229-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73954718-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
74590672-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
74574699-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
72921785-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
74438621-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
73211933-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
73805636-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
74132943-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
74456405-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
74237232-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
74263069-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
74214976-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73131247-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
72929659-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73101069-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73316485-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
72940123-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
74475086-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73674092-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
74571672-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73001297-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
72970327-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73332258-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73907799-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73067624-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
73493717-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
73581456-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73111730-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
74328847-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73218534-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
73772360-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
72901581-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73676462-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73413953-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
73679367-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
72938512-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
74189852-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73851725-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74322206-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73543246-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
72978467-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
74204364-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73535528-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73235410-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
73616926-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73574161-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
74598647-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
74026877-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73185851-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
72969739-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
74472565-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
74575521-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74591135-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
74350679-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
73957101-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
73987353-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
73690166-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
73389055-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
74371499-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74381155-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
73442986-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73398477-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73717005-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
73467227-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
73585351-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
73879329-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74083779-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74512385-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
73537413-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
74509701-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
73660116-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74440532-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74187884-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
72965331-gpt-3.5-turbo,MEDIUM,HIGH
73147931-gpt-3.5-turbo,MEDIUM,VERY HIGH
73369911-gpt-3.5-turbo,LOW,VERY LOW
73704007-gpt-3.5-turbo,VERY HIGH,VERY HIGH
73791548-gpt-3.5-turbo,MEDIUM,HIGH
74489862-gpt-3.5-turbo,HIGH,MEDIUM
72882674-gpt-3.5-turbo,HIGH,HIGH
73034413-gpt-3.5-turbo,HIGH,HIGH
74365144-gpt-3.5-turbo,LOW,VERY HIGH
73354652-gpt-3.5-turbo,MEDIUM,HIGH
73073571-gpt-3.5-turbo,MEDIUM,LOW
74603346-gpt-3.5-turbo,MEDIUM,LOW
73583513-gpt-3.5-turbo,HIGH,VERY HIGH
73858913-gpt-3.5-turbo,HIGH,MEDIUM
74167747-gpt-3.5-turbo,MEDIUM,HIGH
74349234-gpt-3.5-turbo,MEDIUM,VERY HIGH
73290373-gpt-3.5-turbo,MEDIUM,HIGH
74077744-gpt-3.5-turbo,HIGH,HIGH
73646644-gpt-3.5-turbo,MEDIUM,VERY HIGH
74318528-gpt-3.5-turbo,MEDIUM,MEDIUM
73206798-gpt-3.5-turbo,MEDIUM,HIGH
73676116-gpt-3.5-turbo,MEDIUM,VERY HIGH
73364270-gpt-3.5-turbo,MEDIUM,HIGH
73760219-gpt-3.5-turbo,MEDIUM,VERY LOW
73946426-gpt-3.5-turbo,HIGH,VERY HIGH
73410719-gpt-3.5-turbo,MEDIUM,MEDIUM
73611950-gpt-3.5-turbo,HIGH,MEDIUM
73546092-gpt-3.5-turbo,HIGH,MEDIUM
73300008-gpt-3.5-turbo,MEDIUM,HIGH
74367079-gpt-3.5-turbo,HIGH,VERY HIGH
73766357-gpt-3.5-turbo,MEDIUM,MEDIUM
73972027-gpt-3.5-turbo,MEDIUM,MEDIUM
74354445-gpt-3.5-turbo,MEDIUM,HIGH
74543156-gpt-3.5-turbo,MEDIUM,HIGH
73525303-gpt-3.5-turbo,LOW,LOW
73201201-gpt-3.5-turbo,HIGH,MEDIUM
73954718-gpt-3.5-turbo,MEDIUM,MEDIUM
73611112-gpt-3.5-turbo,MEDIUM,HIGH
74574699-gpt-3.5-turbo,LOW,LOW
74484753-gpt-3.5-turbo,HIGH,HIGH
72921785-gpt-3.5-turbo,LOW,HIGH
73296988-gpt-3.5-turbo,HIGH,MEDIUM
73211933-gpt-3.5-turbo,MEDIUM,MEDIUM
73805636-gpt-3.5-turbo,LOW,LOW
74132943-gpt-3.5-turbo,MEDIUM,MEDIUM
73367075-gpt-3.5-turbo,LOW,HIGH
74237232-gpt-3.5-turbo,HIGH,VERY HIGH
74263069-gpt-3.5-turbo,MEDIUM,HIGH
74214976-gpt-3.5-turbo,MEDIUM,HIGH
73131247-gpt-3.5-turbo,MEDIUM,LOW
73316485-gpt-3.5-turbo,HIGH,LOW
72940123-gpt-3.5-turbo,MEDIUM,HIGH
73693052-gpt-3.5-turbo,MEDIUM,VERY LOW
74475086-gpt-3.5-turbo,MEDIUM,VERY HIGH
73674092-gpt-3.5-turbo,LOW,VERY HIGH
73001297-gpt-3.5-turbo,HIGH,LOW
73332258-gpt-3.5-turbo,MEDIUM,VERY HIGH
73907799-gpt-3.5-turbo,MEDIUM,MEDIUM
73076798-gpt-3.5-turbo,HIGH,HIGH
73067624-gpt-3.5-turbo,MEDIUM,MEDIUM
73493717-gpt-3.5-turbo,MEDIUM,HIGH
73581456-gpt-3.5-turbo,MEDIUM,MEDIUM
73111730-gpt-3.5-turbo,HIGH,MEDIUM
73870058-gpt-3.5-turbo,MEDIUM,VERY HIGH
74328847-gpt-3.5-turbo,HIGH,MEDIUM
73077152-gpt-3.5-turbo,MEDIUM,LOW
73060562-gpt-3.5-turbo,LOW,MEDIUM
73772360-gpt-3.5-turbo,MEDIUM,MEDIUM
72901581-gpt-3.5-turbo,HIGH,MEDIUM
73336387-gpt-3.5-turbo,HIGH,LOW
73225767-gpt-3.5-turbo,HIGH,VERY HIGH
73676462-gpt-3.5-turbo,MEDIUM,VERY HIGH
74286842-gpt-3.5-turbo,HIGH,LOW
73413953-gpt-3.5-turbo,MEDIUM,HIGH
74591448-gpt-3.5-turbo,MEDIUM,MEDIUM
72938512-gpt-3.5-turbo,HIGH,MEDIUM
74189852-gpt-3.5-turbo,MEDIUM,HIGH
73851725-gpt-3.5-turbo,HIGH,HIGH
73669427-gpt-3.5-turbo,MEDIUM,VERY LOW
74322206-gpt-3.5-turbo,LOW,VERY LOW
73543246-gpt-3.5-turbo,MEDIUM,HIGH
72978467-gpt-3.5-turbo,HIGH,HIGH
73535528-gpt-3.5-turbo,MEDIUM,LOW
74234235-gpt-3.5-turbo,MEDIUM,VERY HIGH
73616926-gpt-3.5-turbo,LOW,VERY HIGH
74433987-gpt-3.5-turbo,MEDIUM,HIGH
73315006-gpt-3.5-turbo,LOW,VERY HIGH
74026877-gpt-3.5-turbo,MEDIUM,MEDIUM
73185851-gpt-3.5-turbo,MEDIUM,MEDIUM
74472565-gpt-3.5-turbo,HIGH,VERY HIGH
74575521-gpt-3.5-turbo,LOW,MEDIUM
73102008-gpt-3.5-turbo,HIGH,VERY HIGH
74350679-gpt-3.5-turbo,MEDIUM,VERY HIGH
74412442-gpt-3.5-turbo,MEDIUM,MEDIUM
73810279-gpt-3.5-turbo,MEDIUM,LOW
73389055-gpt-3.5-turbo,MEDIUM,VERY HIGH
