Question ID,Model,Similarity
74743835,gpt-3.5-turbo,VERY HIGH
75383462,meta-llama/Llama-2-7b-chat-hf,HIGH
75383462,gpt-3.5-turbo,MEDIUM
74910014,meta-llama/Llama-2-7b-chat-hf,LOW
74910014,gpt-3.5-turbo,HIGH
74776364,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74776364,gpt-3.5-turbo,HIGH
75052561,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75052561,gpt-3.5-turbo,MEDIUM
74930743,meta-llama/Llama-2-7b-chat-hf,HIGH
74930743,gpt-3.5-turbo,VERY HIGH
75194484,gpt-3.5-turbo,MEDIUM
75194484,meta-llama/Llama-2-7b-chat-hf,HIGH
75723462,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75723462,gpt-3.5-turbo,VERY HIGH
75344215,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75344215,gpt-3.5-turbo,MEDIUM
75187395,meta-llama/Llama-2-7b-chat-hf,LOW
75187395,gpt-3.5-turbo,LOW
75699798,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75699798,gpt-3.5-turbo,LOW
75610549,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75610549,gpt-3.5-turbo,HIGH
75621990,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75621990,gpt-3.5-turbo,VERY HIGH
75648158,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75648158,gpt-3.5-turbo,HIGH
75552848,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75552848,gpt-3.5-turbo,HIGH
75392538,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75392538,gpt-3.5-turbo,LOW
75694420,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75694420,gpt-3.5-turbo,VERY HIGH
75377287,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75377287,gpt-3.5-turbo,LOW
76082047,gpt-3.5-turbo,MEDIUM
76082047,meta-llama/Llama-2-7b-chat-hf,HIGH
74659206,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74659206,gpt-3.5-turbo,VERY HIGH
74698926,meta-llama/Llama-2-7b-chat-hf,HIGH
74698926,gpt-3.5-turbo,HIGH
75978976,meta-llama/Llama-2-7b-chat-hf,HIGH
75978976,gpt-3.5-turbo,LOW
75585439,meta-llama/Llama-2-7b-chat-hf,HIGH
75585439,gpt-3.5-turbo,HIGH
74661098,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74661098,gpt-3.5-turbo,HIGH
75915685,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75915685,gpt-3.5-turbo,LOW
76028371,meta-llama/Llama-2-7b-chat-hf,HIGH
76028371,gpt-3.5-turbo,LOW
75130798,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75130798,gpt-3.5-turbo,HIGH
75409618,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75409618,gpt-3.5-turbo,HIGH
74708210,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74708210,gpt-3.5-turbo,HIGH
75801284,gpt-3.5-turbo,MEDIUM
75801284,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75144334,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75144334,gpt-3.5-turbo,MEDIUM
75036609,meta-llama/Llama-2-7b-chat-hf,HIGH
75036609,gpt-3.5-turbo,HIGH
75666909,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75666909,gpt-3.5-turbo,VERY HIGH
75554326,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75554326,gpt-3.5-turbo,VERY HIGH
76024411,meta-llama/Llama-2-7b-chat-hf,HIGH
76024411,gpt-3.5-turbo,HIGH
75039363,meta-llama/Llama-2-7b-chat-hf,LOW
75039363,gpt-3.5-turbo,LOW
75517381,meta-llama/Llama-2-7b-chat-hf,HIGH
75517381,gpt-3.5-turbo,VERY HIGH
75219282,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75219282,gpt-3.5-turbo,HIGH
75022490,meta-llama/Llama-2-7b-chat-hf,LOW
75022490,gpt-3.5-turbo,VERY HIGH
74626863,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74626863,gpt-3.5-turbo,MEDIUM
75610152,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75610152,gpt-3.5-turbo,MEDIUM
75194988,gpt-3.5-turbo,LOW
75194988,meta-llama/Llama-2-7b-chat-hf,HIGH
74721482,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74721482,gpt-3.5-turbo,HIGH
74906864,meta-llama/Llama-2-7b-chat-hf,LOW
74906864,gpt-3.5-turbo,HIGH
75569999,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75569999,gpt-3.5-turbo,HIGH
75709844,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75709844,gpt-3.5-turbo,HIGH
75248840,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75248840,gpt-3.5-turbo,MEDIUM
75100575,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75100575,gpt-3.5-turbo,VERY HIGH
75958646,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75958646,gpt-3.5-turbo,LOW
74895100,meta-llama/Llama-2-7b-chat-hf,HIGH
74895100,gpt-3.5-turbo,VERY HIGH
75909740,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75909740,gpt-3.5-turbo,MEDIUM
75141541,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75141541,gpt-3.5-turbo,HIGH
75928075,gpt-3.5-turbo,LOW
75928075,meta-llama/Llama-2-7b-chat-hf,LOW
75672793,meta-llama/Llama-2-7b-chat-hf,HIGH
75672793,gpt-3.5-turbo,VERY HIGH
74633644,meta-llama/Llama-2-7b-chat-hf,HIGH
74633644,gpt-3.5-turbo,VERY HIGH
75758831,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75758831,gpt-3.5-turbo,VERY HIGH
74871350,meta-llama/Llama-2-7b-chat-hf,LOW
74871350,gpt-3.5-turbo,VERY HIGH
74704512,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74704512,gpt-3.5-turbo,VERY HIGH
76018687,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
76018687,gpt-3.5-turbo,VERY HIGH
75584772,meta-llama/Llama-2-7b-chat-hf,HIGH
75584772,gpt-3.5-turbo,MEDIUM
74635523,meta-llama/Llama-2-7b-chat-hf,LOW
74635523,gpt-3.5-turbo,LOW
75768527,meta-llama/Llama-2-7b-chat-hf,LOW
75768527,gpt-3.5-turbo,MEDIUM
75659998,meta-llama/Llama-2-7b-chat-hf,HIGH
75659998,gpt-3.5-turbo,VERY LOW
75338255,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75338255,gpt-3.5-turbo,HIGH
75922766,gpt-3.5-turbo,MEDIUM
75922766,meta-llama/Llama-2-7b-chat-hf,LOW
75367179,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75367179,gpt-3.5-turbo,HIGH
75080442,meta-llama/Llama-2-7b-chat-hf,HIGH
75080442,gpt-3.5-turbo,VERY HIGH
75003039,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75003039,gpt-3.5-turbo,HIGH
74632731,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74632731,gpt-3.5-turbo,MEDIUM
75264592,meta-llama/Llama-2-7b-chat-hf,LOW
75264592,gpt-3.5-turbo,MEDIUM
74694970,meta-llama/Llama-2-7b-chat-hf,HIGH
74694970,gpt-3.5-turbo,HIGH
75029678,meta-llama/Llama-2-7b-chat-hf,HIGH
75029678,gpt-3.5-turbo,MEDIUM
75780030,meta-llama/Llama-2-7b-chat-hf,HIGH
75780030,gpt-3.5-turbo,VERY HIGH
75902318,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75902318,gpt-3.5-turbo,HIGH
74765075,gpt-3.5-turbo,MEDIUM
74765075,meta-llama/Llama-2-7b-chat-hf,HIGH
75062538,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75062538,gpt-3.5-turbo,MEDIUM
75915623,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75915623,gpt-3.5-turbo,VERY LOW
75349712,meta-llama/Llama-2-7b-chat-hf,LOW
75349712,gpt-3.5-turbo,HIGH
75198599,meta-llama/Llama-2-7b-chat-hf,LOW
75198599,gpt-3.5-turbo,VERY HIGH
75794776,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75794776,gpt-3.5-turbo,HIGH
74919045,meta-llama/Llama-2-7b-chat-hf,LOW
74919045,gpt-3.5-turbo,HIGH
75635774,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75635774,gpt-3.5-turbo,VERY HIGH
75291308,meta-llama/Llama-2-7b-chat-hf,HIGH
75291308,gpt-3.5-turbo,VERY HIGH
74813041,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74813041,gpt-3.5-turbo,HIGH
74745783,gpt-3.5-turbo,HIGH
74745783,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75369191,meta-llama/Llama-2-7b-chat-hf,LOW
75369191,gpt-3.5-turbo,MEDIUM
75426952,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75426952,gpt-3.5-turbo,HIGH
76012769,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
76012769,gpt-3.5-turbo,LOW
75513958,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75513958,gpt-3.5-turbo,HIGH
74802863,meta-llama/Llama-2-7b-chat-hf,HIGH
74802863,gpt-3.5-turbo,VERY HIGH
74996056,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74996056,gpt-3.5-turbo,VERY LOW
75119837,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75119837,gpt-3.5-turbo,HIGH
75903800,meta-llama/Llama-2-7b-chat-hf,HIGH
75903800,gpt-3.5-turbo,MEDIUM
75346885,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75346885,gpt-3.5-turbo,HIGH
75012061,gpt-3.5-turbo,LOW
75012061,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75135923,meta-llama/Llama-2-7b-chat-hf,LOW
75135923,gpt-3.5-turbo,VERY LOW
75958436,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75958436,gpt-3.5-turbo,HIGH
74637515,meta-llama/Llama-2-7b-chat-hf,LOW
74637515,gpt-3.5-turbo,LOW
75715631,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75715631,gpt-3.5-turbo,LOW
75745637,meta-llama/Llama-2-7b-chat-hf,LOW
75745637,gpt-3.5-turbo,VERY HIGH
75919061,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75919061,gpt-3.5-turbo,LOW
75494817,meta-llama/Llama-2-7b-chat-hf,HIGH
75494817,gpt-3.5-turbo,High
75644586,meta-llama/Llama-2-7b-chat-hf,LOW
75644586,gpt-3.5-turbo,HIGH
75449604,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75449604,gpt-3.5-turbo,VERY HIGH
75977888,meta-llama/Llama-2-7b-chat-hf,LOW
75977888,gpt-3.5-turbo,MEDIUM
74870967,gpt-3.5-turbo,VERY HIGH
74870967,meta-llama/Llama-2-7b-chat-hf,HIGH
75135939,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75135939,gpt-3.5-turbo,HIGH
75346823,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75346823,gpt-3.5-turbo,MEDIUM
74733701,meta-llama/Llama-2-7b-chat-hf,LOW
74733701,gpt-3.5-turbo,VERY HIGH
75841863,meta-llama/Llama-2-7b-chat-hf,LOW
75841863,gpt-3.5-turbo,HIGH
76030821,meta-llama/Llama-2-7b-chat-hf,HIGH
76030821,gpt-3.5-turbo,LOW
75011823,meta-llama/Llama-2-7b-chat-hf,LOW
75011823,gpt-3.5-turbo,MEDIUM
75353543,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75353543,gpt-3.5-turbo,VERY HIGH
75789993,meta-llama/Llama-2-7b-chat-hf,LOW
75789993,gpt-3.5-turbo,HIGH
75429405,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75429405,gpt-3.5-turbo,HIGH
75377220,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75377220,gpt-3.5-turbo,VERY HIGH
75055688,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75055688,gpt-3.5-turbo,VERY HIGH
75504826,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75504826,gpt-3.5-turbo,HIGH
74911648,meta-llama/Llama-2-7b-chat-hf,LOW
74911648,gpt-3.5-turbo,LOW
75044024,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75044024,gpt-3.5-turbo,LOW
74844464,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74844464,gpt-3.5-turbo,LOW
74959366,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74959366,gpt-3.5-turbo,MEDIUM
75260382,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75260382,gpt-3.5-turbo,VERY HIGH
75341458,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75341458,gpt-3.5-turbo,MEDIUM
73827986,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
73827986,gpt-3.5-turbo,MEDIUM
73368255,meta-llama/Llama-2-7b-chat-hf,LOW
73368255,gpt-3.5-turbo,VERY HIGH
72986123,meta-llama/Llama-2-7b-chat-hf,LOW
72986123,gpt-3.5-turbo,HIGH
74368270,meta-llama/Llama-2-7b-chat-hf,LOW
74368270,gpt-3.5-turbo,MEDIUM
74511509,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74511509,gpt-3.5-turbo,VERY LOW
73725448,meta-llama/Llama-2-7b-chat-hf,LOW
73725448,gpt-3.5-turbo,VERY HIGH
73465679,meta-llama/Llama-2-7b-chat-hf,HIGH
73465679,gpt-3.5-turbo,LOW
74411450,meta-llama/Llama-2-7b-chat-hf,LOW
74411450,gpt-3.5-turbo,VERY HIGH
73956768,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73956768,gpt-3.5-turbo,VERY HIGH
73143311,meta-llama/Llama-2-7b-chat-hf,VERY LOW
73143311,gpt-3.5-turbo,VERY LOW
73551864,meta-llama/Llama-2-7b-chat-hf,VERY LOW
73551864,gpt-3.5-turbo,HIGH
74242518,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74242518,gpt-3.5-turbo,MEDIUM
74535758,meta-llama/Llama-2-7b-chat-hf,HIGH
74535758,gpt-3.5-turbo,MEDIUM
73314559,meta-llama/Llama-2-7b-chat-hf,LOW
73314559,gpt-3.5-turbo,HIGH
73272894,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73272894,gpt-3.5-turbo,MEDIUM
72966905,meta-llama/Llama-2-7b-chat-hf,MEDIUM
72966905,gpt-3.5-turbo,VERY LOW
72905471,meta-llama/Llama-2-7b-chat-hf,MEDIUM
72905471,gpt-3.5-turbo,LOW
72826154,meta-llama/Llama-2-7b-chat-hf,VERY LOW
72826154,gpt-3.5-turbo,LOW
73045806,meta-llama/Llama-2-7b-chat-hf,LOW
73045806,gpt-3.5-turbo,LOW
73891997,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73891997,gpt-3.5-turbo,MEDIUM
73979650,meta-llama/Llama-2-7b-chat-hf,LOW
73979650,gpt-3.5-turbo,VERY HIGH
74422849,meta-llama/Llama-2-7b-chat-hf,LOW
74422849,gpt-3.5-turbo,MEDIUM
73248689,meta-llama/Llama-2-7b-chat-hf,HIGH
73248689,gpt-3.5-turbo,VERY HIGH
74437558,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74437558,gpt-3.5-turbo,LOW
74214892,meta-llama/Llama-2-7b-chat-hf,LOW
74214892,gpt-3.5-turbo,MEDIUM
73903352,meta-llama/Llama-2-7b-chat-hf,HIGH
73903352,gpt-3.5-turbo,MEDIUM
74393426,meta-llama/Llama-2-7b-chat-hf,HIGH
74393426,gpt-3.5-turbo,LOW
73810638,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73810638,gpt-3.5-turbo,VERY LOW
73184914,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73184914,gpt-3.5-turbo,HIGH
74595002,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74595002,gpt-3.5-turbo,HIGH
73534241,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73534241,gpt-3.5-turbo,MEDIUM
73144075,meta-llama/Llama-2-7b-chat-hf,LOW
73144075,gpt-3.5-turbo,LOW
74543810,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74543810,gpt-3.5-turbo,MEDIUM
73556146,meta-llama/Llama-2-7b-chat-hf,VERY LOW
73556146,gpt-3.5-turbo,VERY LOW
74089173,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74089173,gpt-3.5-turbo,HIGH
72847591,meta-llama/Llama-2-7b-chat-hf,HIGH
72847591,gpt-3.5-turbo,VERY HIGH
73903603,meta-llama/Llama-2-7b-chat-hf,HIGH
73903603,gpt-3.5-turbo,MEDIUM
74448709,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74448709,gpt-3.5-turbo,VERY HIGH
74284478,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74284478,gpt-3.5-turbo,MEDIUM
74405746,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74405746,gpt-3.5-turbo,LOW
73407546,meta-llama/Llama-2-7b-chat-hf,HIGH
73407546,gpt-3.5-turbo,VERY HIGH
74339986,meta-llama/Llama-2-7b-chat-hf,LOW
74339986,gpt-3.5-turbo,VERY HIGH
73547364,meta-llama/Llama-2-7b-chat-hf,VERY LOW
73547364,gpt-3.5-turbo,MEDIUM
74095245,meta-llama/Llama-2-7b-chat-hf,LOW
74095245,gpt-3.5-turbo,VERY HIGH
73515766,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
73515766,gpt-3.5-turbo,HIGH
73004413,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73004413,gpt-3.5-turbo,LOW
73380316,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
73380316,gpt-3.5-turbo,LOW
73114255,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73114255,gpt-3.5-turbo,LOW
74310780,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74310780,gpt-3.5-turbo,LOW
73553976,meta-llama/Llama-2-7b-chat-hf,LOW
73553976,gpt-3.5-turbo,VERY LOW
74612337,meta-llama/Llama-2-7b-chat-hf,HIGH
74612337,gpt-3.5-turbo,HIGH
73196092,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
73196092,gpt-3.5-turbo,VERY HIGH
74227793,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74227793,gpt-3.5-turbo,VERY LOW
74076957,meta-llama/Llama-2-7b-chat-hf,HIGH
74076957,gpt-3.5-turbo,VERY HIGH
73682305,meta-llama/Llama-2-7b-chat-hf,LOW
73682305,gpt-3.5-turbo,VERY HIGH
74136704,meta-llama/Llama-2-7b-chat-hf,HIGH
74136704,gpt-3.5-turbo,HIGH
73867414,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73867414,gpt-3.5-turbo,VERY LOW
72971634,meta-llama/Llama-2-7b-chat-hf,HIGH
72971634,gpt-3.5-turbo,MEDIUM
73165456,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73165456,gpt-3.5-turbo,MEDIUM
72988901,meta-llama/Llama-2-7b-chat-hf,LOW
72988901,gpt-3.5-turbo,HIGH
73635965,meta-llama/Llama-2-7b-chat-hf,LOW
73635965,gpt-3.5-turbo,MEDIUM
73738035,meta-llama/Llama-2-7b-chat-hf,LOW
73738035,gpt-3.5-turbo,VERY HIGH
73032148,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73032148,gpt-3.5-turbo,VERY HIGH
73687017,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73687017,gpt-3.5-turbo,VERY HIGH
73531936,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73531936,gpt-3.5-turbo,LOW
73158541,meta-llama/Llama-2-7b-chat-hf,VERY LOW
73158541,gpt-3.5-turbo,LOW
74588596,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74588596,gpt-3.5-turbo,VERY HIGH
73538666,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73538666,gpt-3.5-turbo,LOW
72828351,meta-llama/Llama-2-7b-chat-hf,MEDIUM
72828351,gpt-3.5-turbo,HIGH
73657033,meta-llama/Llama-2-7b-chat-hf,HIGH
73657033,gpt-3.5-turbo,VERY HIGH
73925755,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
73925755,gpt-3.5-turbo,VERY HIGH
73452611,meta-llama/Llama-2-7b-chat-hf,HIGH
73452611,gpt-3.5-turbo,LOW
74271731,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74271731,gpt-3.5-turbo,MEDIUM
73985472,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73985472,gpt-3.5-turbo,VERY HIGH
72954104,meta-llama/Llama-2-7b-chat-hf,MEDIUM
72954104,gpt-3.5-turbo,VERY LOW
74400294,meta-llama/Llama-2-7b-chat-hf,LOW
74400294,gpt-3.5-turbo,LOW
74481905,meta-llama/Llama-2-7b-chat-hf,LOW
74481905,gpt-3.5-turbo,LOW
73125825,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
73125825,gpt-3.5-turbo,HIGH
73475744,meta-llama/Llama-2-7b-chat-hf,HIGH
73475744,gpt-3.5-turbo,MEDIUM
73188739,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
73188739,gpt-3.5-turbo,MEDIUM
74365692,meta-llama/Llama-2-7b-chat-hf,HIGH
74365692,gpt-3.5-turbo,HIGH
74041416,meta-llama/Llama-2-7b-chat-hf,HIGH
74041416,gpt-3.5-turbo,HIGH
73671051,meta-llama/Llama-2-7b-chat-hf,LOW
73671051,gpt-3.5-turbo,HIGH
74556446,meta-llama/Llama-2-7b-chat-hf,LOW
74556446,gpt-3.5-turbo,VERY HIGH
74127525,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74127525,gpt-3.5-turbo,LOW
73168099,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
73168099,gpt-3.5-turbo,VERY HIGH
74321568,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74321568,gpt-3.5-turbo,MEDIUM
73573040,meta-llama/Llama-2-7b-chat-hf,LOW
73573040,gpt-3.5-turbo,MEDIUM
73419719,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73419719,gpt-3.5-turbo,VERY HIGH
73106769,meta-llama/Llama-2-7b-chat-hf,LOW
73106769,gpt-3.5-turbo,MEDIUM
73179160,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73179160,gpt-3.5-turbo,LOW
73920596,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73920596,gpt-3.5-turbo,HIGH
74386488,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74386488,gpt-3.5-turbo,VERY HIGH
72857296,meta-llama/Llama-2-7b-chat-hf,VERY LOW
72857296,gpt-3.5-turbo,VERY HIGH
74407560,meta-llama/Llama-2-7b-chat-hf,LOW
74407560,gpt-3.5-turbo,VERY LOW
73633189,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73633189,gpt-3.5-turbo,HIGH
73985713,meta-llama/Llama-2-7b-chat-hf,LOW
73985713,gpt-3.5-turbo,VERY HIGH
74306195,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74306195,gpt-3.5-turbo,MEDIUM
74191220,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74191220,gpt-3.5-turbo,VERY HIGH
73968425,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73968425,gpt-3.5-turbo,VERY HIGH
72925947,meta-llama/Llama-2-7b-chat-hf,HIGH
72925947,gpt-3.5-turbo,VERY LOW
74357958,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74357958,gpt-3.5-turbo,HIGH
73072459,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
73072459,gpt-3.5-turbo,VERY HIGH
73354989,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73354989,gpt-3.5-turbo,VERY HIGH
74512813,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74512813,gpt-3.5-turbo,HIGH
74345581,meta-llama/Llama-2-7b-chat-hf,HIGH
74345581,gpt-3.5-turbo,VERY LOW
74382338,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74382338,gpt-3.5-turbo,MEDIUM
74237043,meta-llama/Llama-2-7b-chat-hf,HIGH
74237043,gpt-3.5-turbo,VERY HIGH
74594144,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74594144,gpt-3.5-turbo,HIGH
74168837,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74168837,gpt-3.5-turbo,HIGH
73784320,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73784320,gpt-3.5-turbo,MEDIUM
73377019,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73377019,gpt-3.5-turbo,LOW
73210611,meta-llama/Llama-2-7b-chat-hf,HIGH
73210611,gpt-3.5-turbo,VERY HIGH
74548191,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74548191,gpt-3.5-turbo,HIGH
73502432,meta-llama/Llama-2-7b-chat-hf,LOW
73502432,gpt-3.5-turbo,LOW
73515934,meta-llama/Llama-2-7b-chat-hf,LOW
73515934,gpt-3.5-turbo,HIGH
72936313,meta-llama/Llama-2-7b-chat-hf,MEDIUM
72936313,gpt-3.5-turbo,MEDIUM
74110774,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74110774,gpt-3.5-turbo,HIGH
73113554,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73113554,gpt-3.5-turbo,HIGH
73960832,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
73960832,gpt-3.5-turbo,MEDIUM
74387517,meta-llama/Llama-2-7b-chat-hf,LOW
74387517,gpt-3.5-turbo,MEDIUM
73634127,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73634127,gpt-3.5-turbo,MEDIUM
73316739,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
73316739,gpt-3.5-turbo,VERY LOW
73683516,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73683516,gpt-3.5-turbo,VERY HIGH
73253228,meta-llama/Llama-2-7b-chat-hf,HIGH
73253228,gpt-3.5-turbo,MEDIUM
73555284,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73555284,gpt-3.5-turbo,LOW
73809448,meta-llama/Llama-2-7b-chat-hf,HIGH
73809448,gpt-3.5-turbo,VERY HIGH
72887432,meta-llama/Llama-2-7b-chat-hf,LOW
72887432,gpt-3.5-turbo,LOW
74217317,meta-llama/Llama-2-7b-chat-hf,HIGH
74217317,gpt-3.5-turbo,VERY HIGH
74016253,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74016253,gpt-3.5-turbo,MEDIUM
73299474,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73299474,gpt-3.5-turbo,HIGH
74490549,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74490549,gpt-3.5-turbo,VERY HIGH
73134275,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73134275,gpt-3.5-turbo,HIGH
74257296,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74257296,gpt-3.5-turbo,HIGH
72966759,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
72966759,gpt-3.5-turbo,VERY HIGH
74606136,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74606136,gpt-3.5-turbo,VERY LOW
73292446,meta-llama/Llama-2-7b-chat-hf,MEDIUM
73292446,gpt-3.5-turbo,LOW
73725267,meta-llama/Llama-2-7b-chat-hf,LOW
73725267,gpt-3.5-turbo,VERY HIGH
72856097,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
